subgroup,n,sufficient_sample,positive_count,prevalence,mean_predicted_probability,roc_auc,pr_auc,recall_at_moderate_threshold,precision_at_moderate_threshold
age_0_35,521,True,46,0.088292,0.093266,0.582929,0.108211,0.5,0.106481
age_35_50,1975,True,168,0.085063,0.09127,0.611135,0.115508,0.52381,0.118919
age_50_65,3480,True,309,0.088793,0.090279,0.572655,0.109029,0.433657,0.111667
age_65_80,2838,True,257,0.090557,0.089176,0.560905,0.108415,0.392996,0.107219
age_80_plus,1186,True,128,0.107926,0.089262,0.563216,0.136038,0.359375,0.12234
gender_F,5049,True,456,0.090315,0.087643,0.588451,0.11463,0.392544,0.11707
gender_M,4951,True,452,0.091295,0.092802,0.561953,0.109935,0.471239,0.109512
clinical_burden_0_1,4047,True,293,0.072399,0.080688,0.569928,0.085113,0.228669,0.085897
clinical_burden_1_2,3983,True,385,0.096661,0.090829,0.559945,0.113625,0.467532,0.117264
clinical_burden_2_3,1568,True,185,0.117985,0.104084,0.561623,0.140316,0.610811,0.133255
clinical_burden_3_plus,402,True,45,0.11194,0.125499,0.482726,0.119932,0.711111,0.102894
transportation_barrier_0,8572,True,770,0.089827,0.087471,0.580687,0.112669,0.390909,0.114188
transportation_barrier_1,1428,True,138,0.096639,0.106558,0.541669,0.109958,0.65942,0.108592
