threshold,n_selected,pct_selected,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,f1
0.02,10000,1.0,958,9042,0,0,0.0958,1.0,0.0,0.174849
0.03,9999,0.9999,958,9041,0,1,0.09581,1.0,0.000111,0.174865
0.04,9973,0.9973,958,9015,0,27,0.096059,1.0,0.002986,0.175281
0.05,9740,0.974,950,8790,8,252,0.097536,0.991649,0.02787,0.177603
0.06,8873,0.8873,900,7973,58,1069,0.101431,0.939457,0.118226,0.183094
0.07,7600,0.76,806,6794,152,2248,0.106053,0.841336,0.248618,0.188362
0.08,6306,0.6306,686,5620,272,3422,0.108785,0.716075,0.378456,0.188877
0.09,4836,0.4836,554,4282,404,4760,0.114557,0.578288,0.526432,0.191232
0.1,3174,0.3174,369,2805,589,6237,0.116257,0.385177,0.689781,0.178606
0.11,1985,0.1985,248,1737,710,7305,0.124937,0.258873,0.807896,0.168536
0.12,1226,0.1226,160,1066,798,7976,0.130506,0.167015,0.882106,0.14652
0.13,723,0.0723,102,621,856,8421,0.141079,0.106472,0.931321,0.121356
0.14,444,0.0444,65,379,893,8663,0.146396,0.06785,0.958084,0.092725
0.15,245,0.0245,36,209,922,8833,0.146939,0.037578,0.976886,0.05985
0.16,142,0.0142,25,117,933,8925,0.176056,0.026096,0.98706,0.045455
0.17,74,0.0074,14,60,944,8982,0.189189,0.014614,0.993364,0.027132
0.18,43,0.0043,9,34,949,9008,0.209302,0.009395,0.99624,0.017982
0.19,31,0.0031,8,23,950,9019,0.258065,0.008351,0.997456,0.016178
0.2,20,0.002,4,16,954,9026,0.2,0.004175,0.99823,0.00818
0.21,11,0.0011,4,7,954,9035,0.363636,0.004175,0.999226,0.008256
0.22,5,0.0005,3,2,955,9040,0.6,0.003132,0.999779,0.006231
0.23,2,0.0002,1,1,957,9041,0.5,0.001044,0.999889,0.002083
0.24,2,0.0002,1,1,957,9041,0.5,0.001044,0.999889,0.002083
0.25,2,0.0002,1,1,957,9041,0.5,0.001044,0.999889,0.002083
0.26,2,0.0002,1,1,957,9041,0.5,0.001044,0.999889,0.002083
0.27,1,0.0001,1,0,957,9042,1.0,0.001044,1.0,0.002086
0.28,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.29,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.3,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.31,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.32,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.33,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.34,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.35,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.36,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.37,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.38,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.39,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.4,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.41,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.42,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.43,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.44,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.45,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.46,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.47,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.48,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.49,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.5,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.51,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.52,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.53,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.54,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.55,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.56,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.57,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.58,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.59,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.6,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.61,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.62,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.63,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.64,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.65,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.66,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.67,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.68,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.69,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.7,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.71,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.72,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.73,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.74,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.75,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.76,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.77,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.78,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.79,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.8,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.81,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.82,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.83,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.84,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.85,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.86,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.87,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.88,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.89,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.9,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.91,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.92,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.93,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.94,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
0.95,0,0.0,0,0,958,9042,0.0,0.0,1.0,0.0
