feature,std,mean,missing_pct,n_unique,zero_pct
access_burden,0.39939587091777834,0.1833,0.0,3,0.8216
age,15.56650250730815,60.3123,0.0,73,0.0
asthma,0.3100166463790343,0.1077,0.0,2,0.8923
chf,0.2376839064049907,0.0601,0.0,2,0.9399
ckd,0.25482239588651645,0.0698,0.0,2,0.9302
clinical_burden,0.8490190359069302,0.8374,0.0,6,0.4047
copd,0.2834544489727834,0.0881,0.0,2,0.9119
days_since_prior_care_management,75.62421143929105,133.69275603663613,0.8799,269,0.0
days_since_prior_ed,77.90186846440464,122.82734646581692,0.4822,270,0.0
days_since_prior_pcp,77.48493583753805,121.56358768406962,0.5518,270,0.0
days_since_prior_potentially_avoidable_ed,76.94414013856682,129.81208316987053,0.7451,270,0.0
days_since_prior_protected_ed,78.71959667519717,130.94358407079645,0.8192,269,0.0
days_since_prior_telehealth,78.20319967026323,128.3216494845361,0.709,270,0.0
days_since_prior_urgent_care,78.02987873104748,128.57766233766233,0.8075,270,0.0
diabetes,0.38668585776474873,0.183,0.0,2,0.817
ed_utilization_velocity_30_over_180,0.23698273826294022,0.06485833333333332,0.0,7,0.9255
gender,,,0.0,2,
has_prior_care_management,0.32509469182972767,0.1201,0.0,2,0.8799
has_prior_ed,0.4997080455756955,0.5178,0.0,2,0.4822
has_prior_pcp,0.497334388665629,0.4482,0.0,2,0.5518
has_prior_potentially_avoidable_ed,0.43582678267684494,0.2549,0.0,2,0.7451
has_prior_protected_ed,0.3848716313490275,0.1808,0.0,2,0.8192
has_prior_telehealth,0.45424622614106147,0.291,0.0,2,0.709
has_prior_urgent_care,0.3942832686401909,0.1925,0.0,2,0.8075
hypertension,0.4697641725778838,0.3287,0.0,2,0.6713
num_chronic_conditions,0.8490190359069302,0.8374,0.0,6,0.4047
pcp_distance_miles,2.668861446617663,3.6935299999999995,0.0,190,0.0
potentially_avoidable_ed_velocity_90_over_270,0.27250019790452995,0.08436666666666666,0.0,5,0.9094
prior_care_management_count_180d,0.29241920405317073,0.0866,0.0,4,0.9165
prior_care_management_count_270d,0.35655427790914185,0.1276,0.0,4,0.8799
prior_care_management_count_30d,0.11373162923456619,0.0129,0.0,3,0.9872
prior_care_management_count_90d,0.19946914246038003,0.0402,0.0,3,0.9604
prior_ed_count_180d,0.6481604131633767,0.4497,0.0,5,0.6246
prior_ed_count_270d,0.7872683717442959,0.6757,0.0,7,0.4822
prior_ed_count_30d,0.27823907291782335,0.0774,0.0,4,0.9255
prior_ed_count_90d,0.4664970653189526,0.2265,0.0,4,0.7933
prior_pcp_count_180d,0.6392658727678246,0.4001,0.0,6,0.6725
prior_pcp_count_270d,0.7886288312909657,0.6026,0.0,7,0.5518
prior_pcp_count_30d,0.26863790989483083,0.0717,0.0,4,0.931
prior_pcp_count_90d,0.4567265811368895,0.2013,0.0,4,0.8208
prior_potentially_avoidable_ed_count_180d,0.42679528514446147,0.192,0.0,4,0.8207
prior_potentially_avoidable_ed_count_270d,0.5176741722887723,0.2845,0.0,4,0.7451
prior_potentially_avoidable_ed_count_30d,0.1752808670055971,0.0313,0.0,3,0.9689
prior_potentially_avoidable_ed_count_90d,0.3026726301998699,0.0938,0.0,4,0.9094
prior_protected_ed_count_270d,0.43770477327401247,0.1963,0.0,4,0.8192
prior_protected_ed_count_90d,0.2663311533191768,0.0691,0.0,4,0.9339
prior_telehealth_count_180d,0.48371727097533324,0.229,0.0,5,0.7972
prior_telehealth_count_270d,0.5945360353332092,0.3465,0.0,6,0.709
prior_telehealth_count_30d,0.19931854602188637,0.0397,0.0,3,0.9611
prior_telehealth_count_90d,0.3395478158844895,0.1141,0.0,4,0.8928
prior_uncertain_ed_count_270d,0.43604243291258943,0.1949,0.0,5,0.8202
prior_uncertain_ed_count_90d,0.25012256221623225,0.0636,0.0,3,0.9379
prior_urgent_care_count_180d,0.3799861036194539,0.145,0.0,4,0.8647
prior_urgent_care_count_270d,0.46533820385220515,0.2149,0.0,4,0.8075
prior_urgent_care_count_30d,0.16078661397493063,0.0255,0.0,3,0.975
prior_urgent_care_count_90d,0.26532016410169035,0.0715,0.0,4,0.9304
telehealth_available,0.4178006291720653,0.7747,0.0,2,0.2253
transportation_barrier,0.3498862701510364,0.1428,0.0,2,0.8572
urgent_care_distance_miles,1.8899557814101282,2.68876,0.0,145,0.0
