feature_a,feature_b,correlation
num_chronic_conditions,clinical_burden,1.0
transportation_barrier,access_burden,0.8683
prior_ed_count_30d,ed_utilization_velocity_30_over_180,0.946
prior_ed_count_180d,prior_ed_count_270d,0.8085
prior_ed_count_270d,has_prior_ed,0.8283
prior_potentially_avoidable_ed_count_90d,potentially_avoidable_ed_velocity_90_over_270,0.9638
prior_potentially_avoidable_ed_count_180d,prior_potentially_avoidable_ed_count_270d,0.8174
prior_potentially_avoidable_ed_count_270d,has_prior_potentially_avoidable_ed,0.9397
prior_protected_ed_count_270d,has_prior_protected_ed,0.9547
prior_pcp_count_180d,prior_pcp_count_270d,0.8199
prior_pcp_count_270d,has_prior_pcp,0.8479
prior_urgent_care_count_180d,prior_urgent_care_count_270d,0.8186
prior_urgent_care_count_270d,has_prior_urgent_care,0.9459
prior_telehealth_count_180d,prior_telehealth_count_270d,0.8146
prior_telehealth_count_270d,has_prior_telehealth,0.9098
prior_care_management_count_180d,prior_care_management_count_270d,0.8264
prior_care_management_count_180d,has_prior_care_management,0.8016
prior_care_management_count_270d,has_prior_care_management,0.9687
