feature_name,importance,importance_type,rank,model
transportation_barrier,0.10757308675827122,impurity_based_feature_importance,1,random_forest
days_since_prior_potentially_avoidable_ed,0.09528867422275561,impurity_based_feature_importance,2,random_forest
prior_potentially_avoidable_ed_count_270d,0.0704186170418101,impurity_based_feature_importance,3,random_forest
access_burden,0.06806904561738289,impurity_based_feature_importance,4,random_forest
potentially_avoidable_ed_velocity_90_over_270,0.05733014840897965,impurity_based_feature_importance,5,random_forest
prior_ed_count_270d,0.05665543843389746,impurity_based_feature_importance,6,random_forest
prior_potentially_avoidable_ed_count_180d,0.053969696997843514,impurity_based_feature_importance,7,random_forest
prior_potentially_avoidable_ed_count_90d,0.05208849773943545,impurity_based_feature_importance,8,random_forest
pcp_distance_miles,0.045205932432956404,impurity_based_feature_importance,9,random_forest
days_since_prior_ed,0.040925546904397994,impurity_based_feature_importance,10,random_forest
prior_potentially_avoidable_ed_count_180d,0.15745271742343903,xgboost_gain,1,xgboost
prior_potentially_avoidable_ed_count_270d,0.13996127247810364,xgboost_gain,2,xgboost
transportation_barrier,0.08855630457401276,xgboost_gain,3,xgboost
prior_ed_count_270d,0.036032214760780334,xgboost_gain,4,xgboost
prior_potentially_avoidable_ed_count_30d,0.03258230909705162,xgboost_gain,5,xgboost
prior_potentially_avoidable_ed_count_90d,0.031173212453722954,xgboost_gain,6,xgboost
days_since_prior_potentially_avoidable_ed,0.02821742370724678,xgboost_gain,7,xgboost
access_burden,0.02697274461388588,xgboost_gain,8,xgboost
telehealth_available,0.021194545552134514,xgboost_gain,9,xgboost
potentially_avoidable_ed_velocity_90_over_270,0.020622223615646362,xgboost_gain,10,xgboost
