feature_name,importance,importance_type,rank
transportation_barrier,0.10757308675827122,impurity_based_feature_importance,1
days_since_prior_potentially_avoidable_ed,0.09528867422275561,impurity_based_feature_importance,2
prior_potentially_avoidable_ed_count_270d,0.0704186170418101,impurity_based_feature_importance,3
access_burden,0.06806904561738289,impurity_based_feature_importance,4
potentially_avoidable_ed_velocity_90_over_270,0.05733014840897965,impurity_based_feature_importance,5
prior_ed_count_270d,0.05665543843389746,impurity_based_feature_importance,6
prior_potentially_avoidable_ed_count_180d,0.053969696997843514,impurity_based_feature_importance,7
prior_potentially_avoidable_ed_count_90d,0.05208849773943545,impurity_based_feature_importance,8
pcp_distance_miles,0.045205932432956404,impurity_based_feature_importance,9
days_since_prior_ed,0.040925546904397994,impurity_based_feature_importance,10
prior_ed_count_180d,0.03793307394956352,impurity_based_feature_importance,11
urgent_care_distance_miles,0.03601987858437793,impurity_based_feature_importance,12
telehealth_available,0.02524884807875389,impurity_based_feature_importance,13
prior_potentially_avoidable_ed_count_30d,0.022023131840931562,impurity_based_feature_importance,14
has_prior_potentially_avoidable_ed,0.020807009680506763,impurity_based_feature_importance,15
prior_ed_count_90d,0.01806334180301883,impurity_based_feature_importance,16
days_since_prior_pcp,0.016528579507789264,impurity_based_feature_importance,17
age,0.01650888722260203,impurity_based_feature_importance,18
clinical_burden,0.0161068388482849,impurity_based_feature_importance,19
num_chronic_conditions,0.014525989822152655,impurity_based_feature_importance,20
days_since_prior_telehealth,0.012726753095822128,impurity_based_feature_importance,21
ed_utilization_velocity_30_over_180,0.012089951833889015,impurity_based_feature_importance,22
prior_ed_count_30d,0.00914293431165034,impurity_based_feature_importance,23
days_since_prior_protected_ed,0.00859176726289139,impurity_based_feature_importance,24
days_since_prior_care_management,0.0073424786498172065,impurity_based_feature_importance,25
