feature_name,importance,importance_type,rank
prior_potentially_avoidable_ed_count_180d,0.15745271742343903,xgboost_gain,1
prior_potentially_avoidable_ed_count_270d,0.13996127247810364,xgboost_gain,2
transportation_barrier,0.08855630457401276,xgboost_gain,3
prior_ed_count_270d,0.036032214760780334,xgboost_gain,4
prior_potentially_avoidable_ed_count_30d,0.03258230909705162,xgboost_gain,5
prior_potentially_avoidable_ed_count_90d,0.031173212453722954,xgboost_gain,6
days_since_prior_potentially_avoidable_ed,0.02821742370724678,xgboost_gain,7
access_burden,0.02697274461388588,xgboost_gain,8
telehealth_available,0.021194545552134514,xgboost_gain,9
potentially_avoidable_ed_velocity_90_over_270,0.020622223615646362,xgboost_gain,10
prior_ed_count_180d,0.0202019140124321,xgboost_gain,11
prior_telehealth_count_30d,0.01395114604383707,xgboost_gain,12
prior_ed_count_90d,0.013384388759732246,xgboost_gain,13
prior_protected_ed_count_90d,0.013349806889891624,xgboost_gain,14
days_since_prior_ed,0.013064348138868809,xgboost_gain,15
clinical_burden,0.012797623872756958,xgboost_gain,16
num_chronic_conditions,0.012759445235133171,xgboost_gain,17
has_prior_urgent_care,0.012251422740519047,xgboost_gain,18
days_since_prior_pcp,0.011848664842545986,xgboost_gain,19
ed_utilization_velocity_30_over_180,0.011561263352632523,xgboost_gain,20
pcp_distance_miles,0.011388829909265041,xgboost_gain,21
has_prior_care_management,0.01094843726605177,xgboost_gain,22
urgent_care_distance_miles,0.010236336849629879,xgboost_gain,23
copd,0.010135143995285034,xgboost_gain,24
prior_urgent_care_count_270d,0.009727966040372849,xgboost_gain,25
