model,threshold_name,roc_auc,pr_auc,brier_score,prevalence,pr_auc_no_skill_baseline,log_loss,threshold,n_selected,pct_selected,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,f1,accuracy,balanced_accuracy
logistic_regression,0.50,0.699301,0.32877,0.09267,0.1174,0.1174,0.324678,0.5,187,0.0187,128,59,1046,8767,0.684492,0.109029,0.993315,0.188097,0.8895,0.551172
logistic_regression,MODERATE,0.699301,0.32877,0.09267,0.1174,0.1174,0.324678,0.105986,3500,0.35,722,2778,452,6048,0.206286,0.614991,0.685248,0.308943,0.677,0.65012
logistic_regression,HIGH,0.699301,0.32877,0.09267,0.1174,0.1174,0.324678,0.213252,1000,0.1,366,634,808,8192,0.366,0.311755,0.928167,0.336707,0.8558,0.619961
random_forest,0.50,0.689716,0.317605,0.20009,0.1174,0.1174,0.593887,0.5,2045,0.2045,554,1491,620,7335,0.270905,0.471891,0.831067,0.344206,0.7889,0.651479
random_forest,MODERATE,0.689716,0.317605,0.20009,0.1174,0.1174,0.593887,0.105986,10000,1.0,1174,8826,0,0,0.1174,1.0,0.0,0.210131,0.1174,0.5
random_forest,HIGH,0.689716,0.317605,0.20009,0.1174,0.1174,0.593887,0.213252,10000,1.0,1174,8826,0,0,0.1174,1.0,0.0,0.210131,0.1174,0.5
xgboost,0.50,0.689284,0.319847,0.093464,0.1174,0.1174,0.327179,0.5,230,0.023,145,85,1029,8741,0.630435,0.123509,0.990369,0.206553,0.8886,0.556939
xgboost,MODERATE,0.689284,0.319847,0.093464,0.1174,0.1174,0.327179,0.105986,3204,0.3204,676,2528,498,6298,0.210986,0.575809,0.713574,0.308817,0.6974,0.644691
xgboost,HIGH,0.689284,0.319847,0.093464,0.1174,0.1174,0.327179,0.213252,972,0.0972,355,617,819,8209,0.365226,0.302385,0.930093,0.330848,0.8564,0.616239
hist_gradient_boosting,0.50,0.691499,0.320253,0.203174,0.1174,0.1174,0.600441,0.5,2448,0.2448,598,1850,576,6976,0.244281,0.50937,0.790392,0.330204,0.7574,0.649881
hist_gradient_boosting,MODERATE,0.691499,0.320253,0.203174,0.1174,0.1174,0.600441,0.105986,10000,1.0,1174,8826,0,0,0.1174,1.0,0.0,0.210131,0.1174,0.5
hist_gradient_boosting,HIGH,0.691499,0.320253,0.203174,0.1174,0.1174,0.600441,0.213252,9961,0.9961,1172,8789,2,37,0.117659,0.998296,0.004192,0.210507,0.1209,0.501244
