family,params,roc_auc,pr_auc,brier_score,prevalence,pr_auc_no_skill_baseline,log_loss
XGBoost,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.05, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": null}",0.689752,0.317006,0.093595,0.1174,0.1174,0.327615
XGBoost,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.05, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": null}",0.686018,0.317483,0.093757,0.1174,0.1174,0.328219
XGBoost,"{""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.05, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""scale_pos_weight"": null}",0.683508,0.313262,0.094066,0.1174,0.1174,0.329421
XGBoost,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""min_child_weight"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""scale_pos_weight"": null}",0.687291,0.314557,0.093846,0.1174,0.1174,0.328388
XGBoost,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": 7.375209380234506}",0.671348,0.301435,0.192658,0.1174,0.1174,0.576447
XGBoost,"{""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.05, ""min_child_weight"": 5, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": 7.375209380234506}",0.668283,0.304476,0.18906,0.1174,0.1174,0.568478
XGBoost,"{""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""scale_pos_weight"": null}",0.691376,0.317524,0.093606,0.1174,0.1174,0.327361
XGBoost,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.03, ""min_child_weight"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": null}",0.685327,0.312535,0.094079,0.1174,0.1174,0.329194
XGBoost,"{""n_estimators"": 300, ""max_depth"": 5, ""learning_rate"": 0.05, ""min_child_weight"": 10, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""scale_pos_weight"": null}",0.672251,0.300859,0.095244,0.1174,0.1174,0.333805
XGBoost,"{""n_estimators"": 300, ""max_depth"": 6, ""learning_rate"": 0.03, ""min_child_weight"": 10, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 5, ""scale_pos_weight"": null}",0.67958,0.308728,0.094531,0.1174,0.1174,0.331133
XGBoost,"{""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.05, ""min_child_weight"": 1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": 7.375209380234506}",0.675582,0.311263,0.193197,0.1174,0.1174,0.577448
XGBoost,"{""n_estimators"": 300, ""max_depth"": 5, ""learning_rate"": 0.03, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""scale_pos_weight"": 7.375209380234506}",0.667656,0.304996,0.182334,0.1174,0.1174,0.55312
XGBoost,"{""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.02, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": null}",0.689284,0.319847,0.093464,0.1174,0.1174,0.327179
XGBoost,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.02, ""min_child_weight"": 10, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5, ""scale_pos_weight"": null}",0.688076,0.316527,0.093777,0.1174,0.1174,0.328077
XGBoost,"{""n_estimators"": 400, ""max_depth"": 6, ""learning_rate"": 0.02, ""min_child_weight"": 10, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 10, ""scale_pos_weight"": null}",0.684735,0.312157,0.09415,0.1174,0.1174,0.329462
XGBoost,"{""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": 7.375209380234506}",0.680359,0.313421,0.195203,0.1174,0.1174,0.582294
