stratum,n,positives,prevalence,mean_probability,median_probability,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,fnr,tp,fp,fn,tn,roc_auc,pr_auc,brier,low_pct,moderate_pct,high_pct,moderate_plus_rate,high_rate
telehealth_available=0,2433,506,0.207974,0.186251,0.125748,0.105986,0.46568,0.596379,0.255542,0.820158,0.3726,0.389671,0.6274,0.179842,415,1209,91,718,0.700424,0.458092,0.143911,0.332511,0.428278,0.239211,0.667489,0.239211
telehealth_available=1,7567,801,0.105854,0.098117,0.076075,0.105986,0.751553,0.632137,0.208221,0.480649,0.783624,0.290566,0.216376,0.519351,385,1464,416,5302,0.672468,0.246079,0.088966,0.75565,0.188053,0.056297,0.24435,0.056297
telehealth_available=0 x transportation_barrier=0,1841,273,0.148289,0.127419,0.110397,0.105986,0.488322,0.561969,0.176186,0.666667,0.45727,0.278714,0.54273,0.333333,182,851,91,717,0.607038,0.242469,0.122863,0.438892,0.488865,0.072243,0.561108,0.072243
telehealth_available=1 x transportation_barrier=0,6537,544,0.083219,0.080053,0.071838,0.105986,0.824537,0.560838,0.153049,0.244485,0.87719,0.188252,0.12281,0.755515,133,736,411,5257,0.604527,0.139904,0.074965,0.867064,0.119168,0.013768,0.132936,0.013768
telehealth_available=0 x transportation_barrier=1,592,233,0.393581,0.369206,0.282502,0.105986,0.39527,0.501393,0.394247,1.0,0.002786,0.565534,0.997214,0.0,233,358,0,1,0.676701,0.629926,0.209367,0.001689,0.239865,0.758446,0.998311,0.758446
telehealth_available=1 x transportation_barrier=1,1030,257,0.249515,0.212765,0.176207,0.105986,0.28835,0.51938,0.257143,0.980545,0.058215,0.407437,0.941785,0.019455,252,728,5,45,0.643096,0.403904,0.177827,0.048544,0.625243,0.326214,0.951456,0.326214
telehealth_available=0 x pcp_distance_band=0_5,829,109,0.131484,0.116449,0.101562,0.105986,0.572979,0.567317,0.166213,0.559633,0.575,0.256303,0.425,0.440367,61,306,48,414,0.605912,0.260934,0.109115,0.557298,0.390832,0.05187,0.442702,0.05187
telehealth_available=1 x pcp_distance_band=0_5,2850,215,0.075439,0.072529,0.065045,0.105986,0.870175,0.558157,0.172996,0.190698,0.925617,0.181416,0.074383,0.809302,41,196,174,2439,0.627187,0.137343,0.068518,0.916842,0.072982,0.010175,0.083158,0.010175
telehealth_available=0 x pcp_distance_band=5_10,986,217,0.220081,0.188722,0.129669,0.105986,0.462475,0.60247,0.270864,0.852535,0.352406,0.411111,0.647594,0.147465,185,498,32,271,0.705513,0.45101,0.152576,0.307302,0.433063,0.259635,0.692698,0.259635
telehealth_available=1 x pcp_distance_band=5_10,2963,349,0.117786,0.099443,0.077334,0.105986,0.745191,0.643308,0.233596,0.510029,0.776588,0.320432,0.223412,0.489971,178,584,171,2030,0.670474,0.262005,0.097958,0.742828,0.20216,0.055012,0.257172,0.055012
telehealth_available=0 x pcp_distance_band=10plus,618,180,0.291262,0.275943,0.194565,0.105986,0.326861,0.507116,0.294425,0.938889,0.075342,0.448276,0.924658,0.061111,169,405,11,33,0.688496,0.565422,0.176761,0.071197,0.470874,0.457929,0.928803,0.457929
telehealth_available=1 x pcp_distance_band=10plus,1754,237,0.13512,0.137454,0.103997,0.105986,0.569555,0.624766,0.195294,0.700422,0.54911,0.305428,0.45089,0.299578,166,684,71,833,0.684331,0.318687,0.107003,0.515393,0.351197,0.133409,0.484607,0.133409
telehealth_available=0 x clinical_burden=0,918,155,0.168845,0.141899,0.102427,0.105986,0.59695,0.636723,0.25058,0.696774,0.576671,0.368601,0.423329,0.303226,108,323,47,440,0.682848,0.355543,0.128864,0.530501,0.330065,0.139434,0.469499,0.139434
telehealth_available=1 x clinical_burden=0,3020,268,0.088742,0.07917,0.064328,0.105986,0.828808,0.614739,0.216401,0.354478,0.875,0.268741,0.125,0.645522,95,344,173,2408,0.667352,0.193765,0.077671,0.854636,0.118874,0.02649,0.145364,0.02649
telehealth_available=0 x clinical_burden=1plus,1515,351,0.231683,0.213126,0.143246,0.105986,0.386139,0.556738,0.257334,0.874644,0.238832,0.397668,0.761168,0.125356,307,886,44,278,0.704404,0.499959,0.153029,0.212541,0.487789,0.29967,0.787459,0.29967
telehealth_available=1 x clinical_burden=1plus,4547,533,0.11722,0.110701,0.085382,0.105986,0.700242,0.632533,0.205674,0.54409,0.720977,0.298507,0.279023,0.45591,290,1120,243,2894,0.668654,0.271695,0.096468,0.689905,0.234,0.076094,0.310095,0.076094
telehealth_available=0 x prior_outpatient_engagement=0,1649,350,0.21225,0.199269,0.132992,0.105986,0.43299,0.582706,0.251064,0.842857,0.322556,0.386885,0.677444,0.157143,295,880,55,419,0.697352,0.466573,0.145562,0.287447,0.442086,0.270467,0.712553,0.270467
telehealth_available=0 x prior_outpatient_engagement=1,784,156,0.19898,0.15887,0.115531,0.105986,0.534439,0.622673,0.267261,0.769231,0.476115,0.396694,0.523885,0.230769,120,329,36,299,0.710548,0.455428,0.140439,0.427296,0.399235,0.173469,0.572704,0.173469
telehealth_available=1 x prior_outpatient_engagement=0,4778,529,0.110716,0.104775,0.079543,0.105986,0.728757,0.637307,0.208808,0.519849,0.754766,0.297941,0.245234,0.480151,275,1042,254,3207,0.67884,0.247124,0.092844,0.724362,0.208246,0.067392,0.275638,0.067392
telehealth_available=1 x prior_outpatient_engagement=1,2789,272,0.097526,0.086711,0.069837,0.105986,0.790606,0.618376,0.206767,0.404412,0.83234,0.273632,0.16766,0.595588,110,422,162,2095,0.659626,0.255455,0.082324,0.809251,0.15346,0.037289,0.190749,0.037289
