stratum,n,prevalence,mean_probability,moderate_plus_rate,high_rate,recall,fpr,note
barrier=0 x telehealth_available=0,1841,0.148289,0.127419,0.561108,0.072243,0.666667,0.54273,
barrier=0 x telehealth_available=1,6537,0.083219,0.080053,0.132936,0.013768,0.244485,0.12281,
barrier=1 x telehealth_available=0,592,0.393581,0.369206,0.998311,0.758446,1.0,0.997214,
barrier=1 x telehealth_available=1,1030,0.249515,0.212765,0.951456,0.326214,0.980545,0.941785,
barrier=0 x clinical_burden=0,3399,0.083554,0.075741,0.10915,0.01471,0.242958,0.09695,
barrier=0 x clinical_burden=1,3235,0.095518,0.091367,0.229985,0.019474,0.359223,0.216336,
barrier=0 x clinical_burden=2,1284,0.125389,0.111784,0.39486,0.053738,0.565217,0.370436,
barrier=0 x clinical_burden=3plus,460,0.136957,0.133336,0.608696,0.08913,0.698413,0.594458,
barrier=1 x clinical_burden=0,539,0.257885,0.207626,0.925788,0.293135,0.964029,0.9125,
barrier=1 x clinical_burden=1,614,0.263844,0.267028,0.982085,0.485342,1.0,0.975664,
barrier=1 x clinical_burden=2,324,0.358025,0.320686,1.0,0.675926,1.0,1.0,
barrier=1 x clinical_burden=3plus,145,0.503448,0.399658,1.0,0.758621,1.0,1.0,
barrier=0 x prior_avoidable_ed_history=0,6525,0.084138,0.078192,0.135632,0.00046,0.214936,0.128347,
barrier=0 x prior_avoidable_ed_history=1,1853,0.14463,0.133665,0.54884,0.118726,0.735075,0.51735,
barrier=1 x prior_avoidable_ed_history=0,751,0.189081,0.170159,0.938748,0.178429,0.971831,0.931034,
barrier=1 x prior_avoidable_ed_history=1,871,0.399541,0.355831,0.994259,0.747417,0.997126,0.992352,
barrier=0 x pcp_distance_band=0_5,3630,0.084848,0.080712,0.152893,0.016804,0.279221,0.14118,
barrier=0 x pcp_distance_band=5_10,3114,0.102441,0.089506,0.208735,0.026654,0.373041,0.189982,
barrier=0 x pcp_distance_band=10plus,1634,0.116279,0.113939,0.426561,0.048348,0.578947,0.40651,
barrier=1 x pcp_distance_band=0_5,49,0.326531,0.209354,1.0,0.22449,1.0,1.0,
barrier=1 x pcp_distance_band=5_10,835,0.295808,0.241927,0.952096,0.402395,0.987854,0.937075,
barrier=1 x pcp_distance_band=10plus,738,0.307588,0.305489,0.985095,0.593496,0.991189,0.982387,
