,original,synthetic
member_count,10000,10000
ed_encounter_count,13798,15108
care_history_count,26289,27104
ed_date_min,2025-01-01,2025-01-01
ed_date_max,2026-07-02,2026-07-02
chronic_burden_mean,0.8374,0.8992
transportation_barrier_rate,0.1428,0.1622
telehealth_available_rate,0.7747,0.7567
pcp_distance_mean,3.694,7.241
urgent_care_distance_mean,2.689,5.71
ed_visits_per_member_with_ed,1.633,2.245
pct_members_with_ed,0.8447,0.6729
care_PCP_count,12378,9555
care_PCP_rate_per_member,1.2378,0.9555
care_Urgent_Care_count,4321,4323
care_Urgent_Care_rate_per_member,0.4321,0.4323
care_Telehealth_count,6978,9544
care_Telehealth_rate_per_member,0.6978,0.9544
care_Care_Management_count,2612,3682
care_Care_Management_rate_per_member,0.2612,0.3682
ed_potentially_avoidable_count,5832,9467
ed_potentially_avoidable_pct_of_all_ed,0.4227,0.6266
ed_protected_or_high_acuity_count,3969,2811
ed_protected_or_high_acuity_pct_of_all_ed,0.2877,0.1861
ed_uncertain_count,3997,2830
ed_uncertain_pct_of_all_ed,0.2897,0.1873
