signal_group,bucket,observed_prevalence,n,lift_vs_overall
prior_potentially_avoidable_ed_count_270d,0,0.0881,7358,0.738
prior_potentially_avoidable_ed_count_270d,1,0.1367,1844,1.145
prior_potentially_avoidable_ed_count_270d,2,0.2611,429,2.187
prior_potentially_avoidable_ed_count_270d,3+,0.4932,369,4.131
transportation_barrier,0,0.0896,8378,0.751
transportation_barrier,1,0.2731,1622,2.287
has_prior_pcp,0,0.1286,6503,1.077
has_prior_pcp,1,0.1024,3497,0.857
has_prior_care_management,0,0.1205,8459,1.009
has_prior_care_management,1,0.1136,1541,0.951
telehealth_available,0,0.187,2433,1.566
telehealth_available,1,0.0977,7567,0.818
clinical_burden,0,0.0962,3938,0.806
clinical_burden,1,0.112,3849,0.938
clinical_burden,2,0.1636,1608,1.37
clinical_burden,3+,0.2,605,1.675
pcp_distance_miles_band,0-5,0.0836,3782,0.7
pcp_distance_miles_band,5-10,0.1182,3907,0.99
pcp_distance_miles_band,10-20,0.1767,2122,1.48
pcp_distance_miles_band,20+,0.2169,189,1.817
has_prior_ed,0,0.0875,5716,0.733
has_prior_ed,1,0.162,4284,1.357
