subgroup,n,sufficient_sample,positive_count,prevalence,mean_predicted_probability,roc_auc,pr_auc,recall_at_moderate_threshold,precision_at_moderate_threshold
age_0_35,1440,True,170,0.118056,0.115275,0.713094,0.309101,0.594118,0.212185
age_35_50,2668,True,303,0.113568,0.110739,0.68919,0.265904,0.587459,0.207701
age_50_65,3164,True,426,0.13464,0.121032,0.715199,0.354435,0.622066,0.245598
age_65_80,1934,True,282,0.145812,0.124229,0.683131,0.345789,0.588652,0.231198
age_80_plus,794,True,126,0.15869,0.139733,0.740127,0.4573,0.714286,0.262391
gender_F,5084,True,676,0.132966,0.120757,0.712852,0.352282,0.622781,0.231065
gender_M,4916,True,631,0.128356,0.118322,0.696077,0.321073,0.600634,0.229558
clinical_burden_0_1,3938,True,423,0.107415,0.093793,0.694076,0.259409,0.479905,0.233333
clinical_burden_1_2,3849,True,471,0.122369,0.119388,0.688202,0.299504,0.579618,0.202673
clinical_burden_2_3,1608,True,277,0.172264,0.153876,0.69977,0.390015,0.747292,0.249097
clinical_burden_3_plus,605,True,136,0.224793,0.197165,0.735827,0.559009,0.860294,0.275294
transportation_barrier_0,8378,True,817,0.097517,0.090461,0.632155,0.179449,0.385557,0.165615
transportation_barrier_1,1622,True,490,0.302096,0.269863,0.676469,0.52417,0.989796,0.308721
