threshold,n_selected,pct_selected,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,f1
0.02,9999,0.9999,1174,8825,0,1,0.117412,1.0,0.000113,0.210149
0.03,9990,0.999,1174,8816,0,10,0.117518,1.0,0.001133,0.210319
0.04,9887,0.9887,1168,8719,6,107,0.118135,0.994889,0.012123,0.211192
0.05,9433,0.9433,1148,8285,26,541,0.1217,0.977853,0.061296,0.216461
0.06,8289,0.8289,1073,7216,101,1610,0.129449,0.913969,0.182416,0.226778
0.07,6852,0.6852,984,5868,190,2958,0.143608,0.83816,0.335146,0.245203
0.08,5600,0.56,898,4702,276,4124,0.160357,0.764906,0.467256,0.265131
0.09,4554,0.4554,817,3737,357,5089,0.179403,0.695911,0.576592,0.285265
0.1,3824,0.3824,755,3069,419,5757,0.197437,0.643101,0.652277,0.302121
0.11,3278,0.3278,705,2573,469,6253,0.21507,0.600511,0.708475,0.316712
0.12,2797,0.2797,653,2144,521,6682,0.233464,0.556218,0.757081,0.328884
0.13,2439,0.2439,603,1836,571,6990,0.247232,0.513629,0.791978,0.333795
0.14,2172,0.2172,564,1608,610,7218,0.259669,0.480409,0.817811,0.337119
0.15,1907,0.1907,525,1382,649,7444,0.275302,0.447189,0.843417,0.340798
0.16,1719,0.1719,497,1222,677,7604,0.289122,0.423339,0.861545,0.343588
0.17,1545,0.1545,469,1076,705,7750,0.30356,0.399489,0.878087,0.34498
0.18,1386,0.1386,435,951,739,7875,0.313853,0.370528,0.89225,0.339844
0.19,1240,0.124,407,833,767,7993,0.328226,0.346678,0.90562,0.3372
0.2,1139,0.1139,386,753,788,8073,0.338894,0.32879,0.914684,0.333766
0.21,1037,0.1037,373,664,801,8162,0.359691,0.317717,0.924768,0.337404
0.22,941,0.0941,355,586,819,8240,0.377258,0.302385,0.933605,0.335697
0.23,870,0.087,336,534,838,8292,0.386207,0.286201,0.939497,0.328767
0.24,804,0.0804,319,485,855,8341,0.396766,0.271721,0.945049,0.322548
0.25,741,0.0741,301,440,873,8386,0.406208,0.256388,0.950147,0.31436
0.26,685,0.0685,285,400,889,8426,0.416058,0.24276,0.954679,0.306616
0.27,639,0.0639,271,368,903,8458,0.4241,0.230835,0.958305,0.298952
0.28,600,0.06,264,336,910,8490,0.44,0.224872,0.961931,0.297632
0.29,563,0.0563,254,309,920,8517,0.451155,0.216354,0.96499,0.292458
0.3,534,0.0534,248,286,926,8540,0.464419,0.211244,0.967596,0.290398
0.31,501,0.0501,238,263,936,8563,0.47505,0.202726,0.970202,0.284179
0.32,474,0.0474,232,242,942,8584,0.489451,0.197615,0.972581,0.281553
0.33,438,0.0438,224,214,950,8612,0.511416,0.190801,0.975753,0.277916
0.34,414,0.0414,211,203,963,8623,0.509662,0.179727,0.977,0.265743
0.35,393,0.0393,202,191,972,8635,0.513995,0.172061,0.978359,0.257817
0.36,370,0.037,195,175,979,8651,0.527027,0.166099,0.980172,0.252591
0.37,350,0.035,185,165,989,8661,0.528571,0.157581,0.981305,0.242782
0.38,329,0.0329,183,146,991,8680,0.556231,0.155877,0.983458,0.243513
0.39,312,0.0312,181,131,993,8695,0.580128,0.154174,0.985157,0.243607
0.4,291,0.0291,175,116,999,8710,0.601375,0.149063,0.986857,0.238908
0.41,277,0.0277,168,109,1006,8717,0.606498,0.143101,0.98765,0.231564
0.42,268,0.0268,162,106,1012,8720,0.604478,0.13799,0.98799,0.224688
0.43,252,0.0252,158,94,1016,8732,0.626984,0.134583,0.98935,0.221599
0.44,243,0.0243,153,90,1021,8736,0.62963,0.130324,0.989803,0.215949
0.45,239,0.0239,152,87,1022,8739,0.635983,0.129472,0.990143,0.215145
0.46,227,0.0227,148,79,1026,8747,0.651982,0.126065,0.991049,0.211278
0.47,219,0.0219,142,77,1032,8749,0.648402,0.120954,0.991276,0.203877
0.48,209,0.0209,139,70,1035,8756,0.665072,0.118399,0.992069,0.201012
0.49,199,0.0199,132,67,1042,8759,0.663317,0.112436,0.992409,0.19228
0.5,187,0.0187,128,59,1046,8767,0.684492,0.109029,0.993315,0.188097
0.51,178,0.0178,125,53,1049,8773,0.702247,0.106474,0.993995,0.184911
0.52,169,0.0169,121,48,1053,8778,0.715976,0.103066,0.994562,0.180194
0.53,160,0.016,116,44,1058,8782,0.725,0.098807,0.995015,0.173913
0.54,152,0.0152,110,42,1064,8784,0.723684,0.093697,0.995241,0.165913
0.55,147,0.0147,109,38,1065,8788,0.741497,0.092845,0.995695,0.165026
0.56,137,0.0137,103,34,1071,8792,0.751825,0.087734,0.996148,0.157132
0.57,134,0.0134,101,33,1073,8793,0.753731,0.086031,0.996261,0.154434
0.58,131,0.0131,99,32,1075,8794,0.755725,0.084327,0.996374,0.151724
0.59,123,0.0123,95,28,1079,8798,0.772358,0.08092,0.996828,0.146492
0.6,119,0.0119,91,28,1083,8798,0.764706,0.077513,0.996828,0.140758
0.61,109,0.0109,87,22,1087,8804,0.798165,0.074106,0.997507,0.13562
0.62,105,0.0105,83,22,1091,8804,0.790476,0.070698,0.997507,0.129789
0.63,99,0.0099,79,20,1095,8806,0.79798,0.067291,0.997734,0.124116
0.64,95,0.0095,76,19,1098,8807,0.8,0.064736,0.997847,0.119779
0.65,91,0.0091,73,18,1101,8808,0.802198,0.062181,0.997961,0.115415
0.66,88,0.0088,71,17,1103,8809,0.806818,0.060477,0.998074,0.11252
0.67,82,0.0082,65,17,1109,8809,0.792683,0.055366,0.998074,0.103503
0.68,77,0.0077,60,17,1114,8809,0.779221,0.051107,0.998074,0.095923
0.69,73,0.0073,57,16,1117,8810,0.780822,0.048552,0.998187,0.091419
0.7,69,0.0069,55,14,1119,8812,0.797101,0.046848,0.998414,0.088496
0.71,67,0.0067,53,14,1121,8812,0.791045,0.045145,0.998414,0.085415
0.72,63,0.0063,52,11,1122,8815,0.825397,0.044293,0.998754,0.084074
0.73,58,0.0058,48,10,1126,8816,0.827586,0.040886,0.998867,0.077922
0.74,57,0.0057,47,10,1127,8816,0.824561,0.040034,0.998867,0.076361
0.75,51,0.0051,45,6,1129,8820,0.882353,0.03833,0.99932,0.073469
0.76,48,0.0048,42,6,1132,8820,0.875,0.035775,0.99932,0.06874
0.77,44,0.0044,39,5,1135,8821,0.886364,0.03322,0.999433,0.064039
0.78,42,0.0042,37,5,1137,8821,0.880952,0.031516,0.999433,0.060855
0.79,40,0.004,36,4,1138,8822,0.9,0.030664,0.999547,0.059308
0.8,38,0.0038,34,4,1140,8822,0.894737,0.028961,0.999547,0.056106
0.81,33,0.0033,29,4,1145,8822,0.878788,0.024702,0.999547,0.048053
0.82,31,0.0031,27,4,1147,8822,0.870968,0.022998,0.999547,0.044813
0.83,30,0.003,26,4,1148,8822,0.866667,0.022147,0.999547,0.043189
0.84,30,0.003,26,4,1148,8822,0.866667,0.022147,0.999547,0.043189
0.85,29,0.0029,25,4,1149,8822,0.862069,0.021295,0.999547,0.041563
0.86,24,0.0024,22,2,1152,8824,0.916667,0.018739,0.999773,0.036728
0.87,22,0.0022,20,2,1154,8824,0.909091,0.017036,0.999773,0.033445
0.88,20,0.002,18,2,1156,8824,0.9,0.015332,0.999773,0.030151
0.89,20,0.002,18,2,1156,8824,0.9,0.015332,0.999773,0.030151
0.9,17,0.0017,15,2,1159,8824,0.882353,0.012777,0.999773,0.025189
0.91,15,0.0015,13,2,1161,8824,0.866667,0.011073,0.999773,0.021867
0.92,14,0.0014,12,2,1162,8824,0.857143,0.010221,0.999773,0.020202
0.93,11,0.0011,9,2,1165,8824,0.818182,0.007666,0.999773,0.01519
0.94,8,0.0008,6,2,1168,8824,0.75,0.005111,0.999773,0.010152
0.95,5,0.0005,4,1,1170,8825,0.8,0.003407,0.999887,0.006785
